Hotel Name,Location,Price,Rating,Score,Review,Link
Amanora The Fern Hotels & Club,"Hadapsar, Pune"," 6,258",Excellent,8.7,190 reviews,https://www.booking.com/hotel/in/amanora-the-fern-pune.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=232824206_100553547_2_2_0_471000&highlighted_blocks=232824206_100553547_2_2_0_471000&matching_block_id=232824206_100553547_2_2_0_471000&sr_pri_blocks=232824206_100553547_2_2_0_471000_625813&from=searchresults
O Hotel Pune,"Koregaon Park, Pune"," 7,758",Good,7.3,"1,082 reviews",https://www.booking.com/hotel/in/the-o.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=29815002_369988669_2_42_0&highlighted_blocks=29815002_369988669_2_42_0&matching_block_id=29815002_369988669_2_42_0&sr_pri_blocks=29815002_369988669_2_42_0__775760&from=searchresults
Sayaji Pune,"Pimpri, Pune"," 5,750",Good,7.7,641 reviews,https://www.booking.com/hotel/in/sayaji.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=42638201_365076832_2_2_0_434116&highlighted_blocks=42638201_365076832_2_2_0_434116&matching_block_id=42638201_365076832_2_2_0_434116&sr_pri_blocks=42638201_365076832_2_2_0_434116_575000&from=searchresults
Conrad Pune,"Koregaon Park, Pune"," 15,000",Excellent,8.9,562 reviews,https://www.booking.com/hotel/in/conrad-pune.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=147245301_274561810_2_34_0&highlighted_blocks=147245301_274561810_2_34_0&matching_block_id=147245301_274561810_2_34_0&sr_pri_blocks=147245301_274561810_2_34_0__1500000&from_sustainable_property_sr=1&from=searchresults
Four Points by Sheraton Hotel and Serviced Apartments Pune,"Viman Nagar, Pune"," 5,999",Good,7.9,626 reviews,https://www.booking.com/hotel/in/four-points-by-sheraton-pune.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=29999519_246430108_2_42_0&highlighted_blocks=29999519_246430108_2_42_0&matching_block_id=29999519_246430108_2_42_0&sr_pri_blocks=29999519_246430108_2_42_0__599900&from=searchresults
Bloom Hotel Koregaon Park,"Koregaon Park, Pune"," 3,780",Very Good,8.0,167 reviews,https://www.booking.com/hotel/in/bloom-koregaon-park.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=984657701_397121261_2_2_0_99284&highlighted_blocks=984657701_397121261_2_2_0_99284&matching_block_id=984657701_397121261_2_2_0_99284&sr_pri_blocks=984657701_397121261_2_2_0_99284_378000&from=searchresults
Radisson Blu Pune Hinjawadi,"Hinjawadi, Pune"," 8,100",Good,7.7,241 reviews,https://www.booking.com/hotel/in/radisson-blu-pune-hinjewadi.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=215421006_97002067_2_42_0&highlighted_blocks=215421006_97002067_2_42_0&matching_block_id=215421006_97002067_2_42_0&sr_pri_blocks=215421006_97002067_2_42_0__810000&from=searchresults
Radisson Blu Hotel Pune Kharadi,"Kharadi, Pune"," 7,399",Good,7.6,"1,023 reviews",https://www.booking.com/hotel/in/radisson-pune-kharadi.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=33318701_94415860_2_1_0&highlighted_blocks=33318701_94415860_2_1_0&matching_block_id=33318701_94415860_2_1_0&sr_pri_blocks=33318701_94415860_2_1_0__739900&from=searchresults
Blue Diamond Pune IHCL SeleQtions,"Koregaon Park, Pune"," 6,435",Very Good,8.4,520 reviews,https://www.booking.com/hotel/in/taj-blue-diamond.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=7471101_402016873_2_41_0_802871&highlighted_blocks=7471101_402016873_2_41_0_802871&matching_block_id=7471101_402016873_2_41_0_802871&sr_pri_blocks=7471101_402016873_2_41_0_802871_643500&from_sustainable_property_sr=1&from=searchresults
Treebo Diamond Residency - DDPK Inn,"Viman Nagar, Pune"," 1,704",Good,7.3,256 reviews,https://www.booking.com/hotel/in/fabhotel-ajay-inn-viman-nagar.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=412480302_400593051_2_1_0_35060&highlighted_blocks=412480302_400593051_2_1_0_35060&matching_block_id=412480302_400593051_2_1_0_35060&sr_pri_blocks=412480302_400593051_2_1_0_35060_170405&from=searchresults
Lemon Tree Premier City Center Pune,Pune," 6,406",Good,7.8,451 reviews,https://www.booking.com/hotel/in/lemon-tree-premier-city-center-pune.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=412368801_371593365_2_34_0&highlighted_blocks=412368801_371593365_2_34_0&matching_block_id=412368801_371593365_2_34_0&sr_pri_blocks=412368801_371593365_2_34_0__640640&from=searchresults
"Vivanta Pune, Hinjawadi","Hinjawadi, Pune"," 7,740",Very Good,8.0,569 reviews,https://www.booking.com/hotel/in/the-gateway-hinjawadi.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=149045101_270991199_2_41_0_780387&highlighted_blocks=149045101_270991199_2_41_0_780387&matching_block_id=149045101_270991199_2_41_0_780387&sr_pri_blocks=149045101_270991199_2_41_0_780387_774000&from=searchresults
Hotel Elite Stay,"Kharadi, Pune"," 2,188",Exceptional,9.8,6 reviews,https://www.booking.com/hotel/in/elite-stay-pune.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=1281206402_404847248_2_0_0_737900&highlighted_blocks=1281206402_404847248_2_0_0_737900&matching_block_id=1281206402_404847248_2_0_0_737900&sr_pri_blocks=1281206402_404847248_2_0_0_737900_218775&from=searchresults
Treebo Premium Niraali Executive,"Hinjawadi, Pune"," 3,720",Good,7.2,285 reviews,https://www.booking.com/hotel/in/treebo-niraali-executive.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=183047101_397214408_2_33_0_35761&highlighted_blocks=183047101_397214408_2_33_0_35761&matching_block_id=183047101_397214408_2_33_0_35761&sr_pri_blocks=183047101_397214408_2_33_0_35761_371967&from=searchresults
The Royal Luxury stay,"Koregaon Park, Pune"," 2,700",Very Good,8.0,151 reviews,https://www.booking.com/hotel/in/royal-plam-hospitality-services.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=718706001_305087167_6_0_0&highlighted_blocks=718706001_305087167_6_0_0&matching_block_id=718706001_305087167_6_0_0&sr_pri_blocks=718706001_305087167_6_0_0__270000&from=searchresults
"Treebo Luxe Suite, Shivaji Nagar",Pune," 3,005",Good,7.4,149 reviews,https://www.booking.com/hotel/in/treebo-trend-luxe-suite.html?label=gen173nr-1FCAEoggI46AdIM1gEaGyIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4AtLy5r0GwAIB0gIkNDkzNDE3OTAtN2QxNi00ODM2LWIwMTQtNGQ1YTY2Mjk1MWI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-03-01&checkout=2025-03-02&dest_id=-2108361&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=ffac61bf474b03b1&srepoch=1740232448&all_sr_blocks=576502101_392321454_2_1_0_316572&highlighted_blocks=576502101_392321454_2_1_0_316572&matching_block_id=576502101_392321454_2_1_0_316572&sr_pri_blocks=576502101_392321454_2_1_0_316572_300520&from=searchresults
